# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.73350057313089556	-0.2638099304028626	-2.1635738261931472
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
raw-covariance-spherical-candidate	3	0	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.9421375869	328656.95922739088	0.061193807391778487	0.061193807391778487	6535283.9421375869	328656.95922739088				
incremental-md-incl-az-candidate	3	0	False	7.7694627899083102E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.069306828157209566	0.069306828157209566	0.010859334537041326	4.5421488918661144	6535283.9421375869	328656.95922739088	0.061193807391778487	0.061193807391778487	6535283.9421375869	328656.95922739088	0.00042842686818939677	0.00011194863949928052	-0.038082466720901209	1.0783626346561292
raw-covariance-spherical-candidate	3	1	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.6427222351	328657.33192703832	0.065328147027797434	0.065328147027797434	6535283.6427222351	328657.33192703832				
incremental-md-incl-az-candidate	3	1	False	0.00015628173723902794	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.071276606838473811	0.071276606838473811	0.01477902867110905	2.8306739894011983	6535283.6427222351	328657.33192703832	0.065328147027797434	0.065328147027797434	6535283.6427222351	328657.33192703832	0.00072837078417114815	0.00072660462904494683	-0.0034301425475558034	0.60249487993710449
raw-covariance-spherical-candidate	3	2	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.8080578959	328656.85150884668	0.061470923958438228	0.061470923958438228	6535283.8080578959	328656.85150884668				
incremental-md-incl-az-candidate	3	2	False	5.5614403889681086E-05	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.070381918034328805	0.070381918034328805	0.016780811809234079	4.2611947076505015	6535283.8080578959	328656.85150884668	0.061470923958438228	0.061470923958438228	6535283.8080578959	328656.85150884668	0.00055390530999875457	0.00035183533266293365	-0.025495306665224149	1.0932266028506203
raw-covariance-spherical-candidate	3	3	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.9516394092	328656.95106379996	1.485256589041632	1.485256589041632	6535283.9516394092	328656.95106379996				
incremental-md-incl-az-candidate	3	3	False	7.0900348919655798E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	1.4934450994938331	1.4934450994938331	0.010657000445466245	4.5284835106090142	6535283.9516394092	328656.95106379996	1.485256589041632	1.485256589041632	6535283.9516394092	328656.95106379996	0.00041807832522071533	0.00011027031985647029	-0.037841948559602656	1.0907758895487907
raw-covariance-spherical-candidate	3	4	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.508642544	328657.22420849412	0.065605263594457175	0.065605263594457175	6535283.508642544	328657.22420849412				
incremental-md-incl-az-candidate	3	4	False	0.00020412966987015668	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.072351743378085587	0.072351743378085587	0.019547394119192367	3.1353329218865431	6535283.508642544	328657.22420849412	0.065605263594457175	0.065605263594457175	6535283.508642544	328657.22420849412	0.00080854863947313522	0.00078919461126772394	-0.0089965908297795494	0.65407054156541022
